gene,D7_log2FC,D14_log2FC,D7_padj,recovery_ratio
Gm4294,19.4464078936238,-2.96237279581112,0.0105591837801015,0.8476647814847883
Igkv8-19,9.09315383306335,-0.866683005907382,3.9398414368265e-05,0.9046884038455325
Gm10705,8.80709772307895,1.9162851403624,0.0008405521239555,0.7824158195337397
Serpinb1c,7.73202390317807,0.792138831439583,2.44551548124301e-05,0.8975509075813911
Gal,7.62761885434673,0.0,2.24118277692715e-06,1.0
Wfdc21,7.34840891390247,0.070797313115685,0.0046636292152526,0.990365626907106
Il23a,6.6746466674084,0.029721743880183,0.0002670465706153,0.9955470685773808
Gm43181,6.28487556215934,2.21319799852036,0.0052699474222927,0.6478533303275211
Igkv4-59,5.85469794553909,2.19753707108355,0.0391611254226073,0.62465406558541
Gm9385,5.78626195280628,-0.0098525281016541,0.01655557344769,0.9982972550876519
Cebpe,5.44996809044306,0.0,0.0358637367105987,1.0
Slpi,4.91228706812576,0.0453314449433445,0.0008378211083754,0.9907718249534956
S100a8,4.87984090439997,2.16940789099334,0.0023025595706697,0.5554347091444587
Gm43579,4.86483860038358,1.33352673899646,0.0216387893378925,0.7258846904209084
Prtn3,4.67606486209418,-0.202740080225272,0.0196717068950574,0.9566430136868387
S100a9,4.55720022408003,1.69706154945263,0.0039658549688394,0.627608736503295
Pdcd1lg2,4.39962954445026,-0.443983632678208,0.0024747184638699,0.8990861325498976
Cxcl2,4.38153335673655,1.45522823366167,0.0004024447668678,0.6678723827528836
Lum,4.3651997724475,-1.48745429103963,0.0073508721452726,0.6592471436408883
Dppa3,4.34095538514379,-1.43474424462918,0.0024789444366351,0.6694865260446219
Klk1,4.26674410333161,0.0,0.0495318163955244,1.0
Trav14d-3-dv8,4.22193218414956,1.75720038213806,0.0154008128776767,0.583792371479785
Hp,4.17173684814606,1.86210749023842,0.0043448341535936,0.5536373558495307
Gm44672,4.10449532860085,0.792134475892538,0.0385105135774282,0.8070080698173038
Pdzk1ip1,3.91731724315076,0.928361062393574,5.20628049565185e-05,0.7630110086139261
Angptl2,3.84862711054408,-0.438769022743091,0.0159784701835034,0.8859933659093665
Cd36,3.81428863352373,1.19665648281795,2.04926576321856e-06,0.6862700760764266
Pf4,3.71950331927342,-0.880155283092228,7.03190237744528e-05,0.7633675231497951
Sdc1,3.71249999173496,0.682339064413837,0.0267242345376733,0.8162049654052768
Ttr,3.64183194874012,0.531586529857911,0.0159522339788471,0.8540332070946295
Ptgir,3.59501310806732,-0.650525190263805,0.0094885675352018,0.8190478947617725
Tnfsfm13,3.59260615790267,0.758548753070642,1.75102191990557e-05,0.7888583608303239
Trem1,3.56959774932205,1.41536432691921,0.0141872736080008,0.6034947278897123
Mndal,3.54198376395637,0.639003778139564,2.41452529587516e-05,0.8195915563921723
Aunip,3.53472409692598,0.567752289854324,0.0208563321947007,0.8393786122237723
Vsig4,3.50399079234711,0.792142831997486,0.0004104534971908,0.7739312461301082
Tnfsf14,3.43262217504553,0.178993803464025,0.0227770774716495,0.9478550815276806
Nos2,3.4026952771689,1.37265031420548,0.0498778979783196,0.5965991067682239
Il1r2,3.40198286522016,-1.60234067816627,0.0003294488940025,0.5289980162605628
Ednra,3.39729478173033,-0.700273426122277,3.2446578014615e-06,0.7938732223390961
Mocos,3.39481038846872,0.466604936990668,2.44150115358888e-08,0.8625534614317187
Emilin1,3.38095813328143,1.1430150963682,6.27245282600509e-07,0.6619256875391022
Bcar3,3.3558023380153,1.26175331189124,1.64822116744459e-06,0.6240084531803889
Hba-a2,3.32096514310683,0.589328852717866,0.0036889399316081,0.8225428972233846
Col3a1,3.30245436899292,-0.228681031981716,0.0283396777722752,0.9307542190048633
Cpne2,3.30044474298084,1.13556617344142,0.0001128536561893,0.6559354081426558
Gm9733,3.29722163701227,0.150336717806167,0.0157772158745132,0.954405031157568
Hdc,3.28417804180717,0.157970922866418,0.0332202879020436,0.9518994034868182
Lrr1,3.25017103536228,0.0,0.0057525303326016,1.0
Ppm1j,3.24059716473465,0.792162944303135,0.0105824489157206,0.7555503186499888
Ptgs2,3.20980618192141,1.48634033603258,0.0003302509572891,0.5369376679488955
Fzd7,3.20225313670652,0.604830004784423,3.19092874701455e-06,0.8111236123554918
Ms4a4a,3.12606783706261,1.40581619400338,0.0042596093843937,0.5502924865109944
2500002B13Rik,3.10777230004768,-0.557818786676393,5.29269802381217e-05,0.8205084759048034
Plp2,3.10618316431571,0.768081120132658,0.0005057506548779,0.7527251036073832
Kif4,2.93001365564317,1.00109506797824,0.0083689859707428,0.6583309207279142
Gm32633,2.89974850549919,0.651852872439823,0.0197170761918635,0.7752036525913798
Gm8818,2.89405478943029,-0.896766943116739,0.0226284302304883,0.6901347734009997
Nme4,2.87352410873436,0.687463617455831,7.08134722897011e-08,0.7607594050224887
AI662270,2.86676896410048,0.716723303373957,6.15459262016059e-14,0.7499891646835772
Tsku,2.81991741319272,-0.595995963507083,0.0061308234389846,0.7886477239656837
Qpct,2.77681300315247,0.700600551029525,6.7282661802901e-09,0.7476961717500801
Dpep2,2.74913564767485,0.95780551979119,5.13977089022375e-08,0.6515975773689895
2210417A02Rik,2.73196092025744,-0.0707598540603897,0.0238620925340588,0.9740992436840122
Misp3,2.73135456984603,0.830079403818839,0.01261641961783,0.6960924030212483
Mki67,2.65957468485726,0.208733514402984,0.0291784862306405,0.9215162049814041
Zranb3,2.65908853017199,-0.226564400113864,8.44253084132693e-10,0.9147962177478876
Rbm45,2.61193463293736,-0.520112899209174,0.0026574459152715,0.80087062951332
Ncapg2,2.58927703677875,1.02333059371232,4.10406118772316e-06,0.6047813427544941
F13a1,2.58681589165688,0.47829804423767,0.0310869608800433,0.8151016290798664
Mob3b,2.5637959341336,-0.639882928468042,0.0247676296570814,0.7504158112005581
Gmnn,2.56210043771084,0.138466979507313,0.0004507685218661,0.9459556786028931
Traf1,2.54948805758647,0.91745296473306,0.0094004347380575,0.64014227797498
Wwp1,2.48442040651559,0.981015241418223,8.564655586861529e-28,0.6051331574779242
B3gnt3,2.43974677646355,0.869627932980984,0.049971111887639,0.6435581178463434
Sept9,2.39096657182232,0.915412219699693,0.0016205835135631,0.6171371735230935
Ifi44,2.37009200130628,0.125089160374155,0.0004944405518271,0.9472218123578275
