Gene_Set,Gene,D1_log2FC,D1_padj,D4_log2FC,D4_padj,D7_log2FC,D7_padj,D14_log2FC,D14_padj,peak_timepoint,peak_log2FC
LDAM Signature,Lpl,5.52971615731925,1.7602702102693e-51,3.5992830291179,1.03838201458813e-21,3.1886075362028,1.49772261549334e-16,4.89552751889357,6.757212362168859e-40,D1,5.52971615731925
LDAM Signature,Apoe,-1.71730310246601,0.0684794472227073,2.00371463447152,0.0221830112495538,3.55827276353303,1.18375366618906e-05,5.07476696413904,1.92336848086875e-11,D14,5.07476696413904
LDAM Signature,Cd36,4.50634523530983,3.758340046791431e-09,2.94164199942106,0.0003144292020176,3.81428863352373,2.04926576321856e-06,1.19665648281795,0.229930882967586,D1,4.50634523530983
LDAM Signature,Fabp5,2.44217290259031,0.0441362351899053,3.28033231840368,0.0028076033762011,3.4341602921431,0.0021376453744832,4.88594273035763,2.68575300767938e-06,D14,4.88594273035763
LDAM Signature,Fabp4,-0.416028300774636,0.902551283283448,4.65439795103847,0.0006856790464053,1.2118920369293,0.437616755320636,3.76372442734015,0.0151587087551857,D4,4.65439795103847
LDAM Signature,Lipa,0.251291249819996,0.816557752759474,2.22199233223612,1.6936663318958e-05,1.99820340138693,0.0002227281089667,1.75028039159333,0.0013856475497293,D4,2.22199233223612
LDAM Signature,Plin2,4.00534380230393,2.49624923037991e-16,4.99365705711935,1.3786953445163201e-25,3.20522820981548,3.03831672561992e-10,2.91789665040632,1.15887457640943e-08,D4,4.99365705711935
LDAM Signature,Plin3,1.20940622407332,0.0025407315737164,1.52619582075771,5.6336962263755e-05,2.06873263525498,2.17109710050166e-08,1.33704278125377,0.0007516361219571,D7,2.06873263525498
LDAM Signature,Acsl1,-0.420981249759692,0.566015036890318,-0.439764181869567,0.504957470566518,-0.160503421753858,0.79630563303412,-0.202294362114748,0.810299415472529,D4,-0.439764181869567
LDAM Signature,Acsl3,-2.20841885128638,0.115996020404539,-3.83315244257249,0.0012924635069605,-1.78049311673119,0.170572403022714,-1.55881773145513,0.287841019515996,D4,-3.83315244257249
LDAM Signature,Acsl5,0.557027059286036,0.228293254915672,0.187029360457114,0.756979874376636,0.48181314612162,0.237989283342558,0.462350756817597,0.318261424834289,D1,0.557027059286036
LDAM Signature,Dgat1,-0.0160690046587386,1.0,0.451841556233882,0.46979358044017,0.0235081428671656,0.979187069649776,1.81446158592914,9.82638156792244e-05,D14,1.81446158592914
LDAM Signature,Dgat2,-1.45321858305207,0.391736364696131,-1.58342722386434,0.293297235290589,0.188808919050977,0.915485207376595,-1.89645137078353,0.195158545986022,D14,-1.89645137078353
LDAM Signature,Soat1,1.36624869372795,0.0112006045687258,1.71459436807259,0.0007137914631923,1.81664022628016,0.0004231284988033,1.74566982833084,0.0006519973492382,D7,1.81664022628016
LDAM Signature,Acat1,0.228324228806022,0.842935394652173,-0.738412563635553,0.2673274385063,0.0878498625169551,0.911351333097036,-0.474042857861993,0.527585863021883,D4,-0.738412563635553
LDAM Signature,Acat2,0.158714429893008,0.931744922984719,-0.875832109429009,0.312290066225403,-0.87277910159648,0.25749444783597,-0.756290289546046,0.403294701355522,D4,-0.875832109429009
LDAM Signature,Abhd5,0.524609895098785,0.228975571353944,0.547582446168329,0.179267814103615,0.161528349679115,0.710618196964979,1.34460751614528,0.0001100989694142,D14,1.34460751614528
LDAM Signature,Mgll,-3.11614351297756,1.67133391791584e-05,-3.474638934078,7.07334075684885e-07,-2.53887524569908,0.000885329448722,-1.64135303002892,0.0467579741573013,D4,-3.474638934078
LDAM Signature,Pnpla2,-0.830730283739596,0.505335969542456,-0.563379674153547,0.661511192308664,0.180253199639547,0.877579856630441,-0.184746804253223,0.918350563083172,D1,-0.830730283739596
LDAM Signature,Nos2,4.60487305985036,0.0172086905214558,0.361970361266639,0.911487638335814,3.4026952771689,0.0498778979783196,1.37265031420548,0.575071855142655,D1,4.60487305985036
LDAM Signature,Ptgs2,5.59298036301464,2.81900199573478e-12,3.77085278057342,9.29124180237821e-06,3.20980618192141,0.0003302509572891,1.48634033603258,0.150267969957324,D1,5.59298036301464
LDAM Signature,Il1b,2.80509487345358,0.0009805279920969,2.98648672219113,0.0003400252492132,2.67356492390488,0.0020793033042622,3.66596539003221,6.94940054233985e-06,D14,3.66596539003221
LDAM Signature,Tnf,1.30903000164434,0.166422672749958,2.40107635400391,0.0024584510898989,0.712675231041705,0.42661194384665,-0.0555067564212856,0.984314809235603,D4,2.40107635400391
LDAM Signature,Cxcl10,3.2004346261021,5.26304139449769e-10,3.83894133512823,2.2907843211951502e-14,1.10521758570405,0.0695445226387229,2.10283128242882,0.0001882519262483,D4,3.83894133512823
LDAM Signature,Ccl2,2.08040134918904,0.0342105559462908,3.31217054050847,0.0001474974246779,0.950053802128564,0.342577628498455,-0.867632431345865,0.464597015183924,D4,3.31217054050847
DAM Signature,Trem2,-1.32729418136126,0.0003880236099309,0.588425779953994,0.1783793190307,0.774090100066646,0.0565851166312949,0.471391445339791,0.311446880830709,D1,-1.32729418136126
DAM Signature,Tyrobp,0.0907504025138703,0.936692984387102,2.00900238387964,5.00343401104708e-07,1.32838908186532,0.0026216039826612,0.644380088335148,0.204999162283307,D4,2.00900238387964
DAM Signature,Cst7,0.764662568292001,0.366005111849526,3.71050042425701,8.45403780949292e-11,1.83836792233501,0.005165024233249,4.36328016416205,1.48703781586199e-14,D14,4.36328016416205
