cluster,n_cells,plin2_mean,plin2_median,plin2_pct_pos,frac_Intact,frac_3dpi,frac_5dpi,LDAM_score,DAM_score,Homeostatic_score
7,595,1.5133699396555265,1.5614589424113372,0.8487394957983193,0.0033613445378151263,0.3831932773109244,0.6134453781512605,0.5088643313603879,1.015247160916559,0.5463802225772044
4,885,1.5030685529698664,1.5222484793389557,0.7672316384180791,0.030508474576271188,0.5502824858757062,0.4192090395480226,0.37449415707655787,0.7342201617264226,-0.8750698117333319
9,120,1.143507543117763,1.2838783141356471,0.5166666666666667,0.18333333333333332,0.525,0.2916666666666667,0.07345117679503281,0.42175714459249797,-0.8614050637044545
6,611,0.9183281645730828,0.9104507772513925,0.55810147299509,0.6857610474631751,0.07855973813420622,0.23567921440261866,0.6312829217692499,0.4139654673385418,-0.5095981423623716
10,64,0.3469476592044859,0.0,0.28125,0.0,0.609375,0.390625,0.21084436775013005,0.016456895706002818,-1.328229907686681
1,1960,0.30950890207978815,0.0,0.2586734693877551,0.14489795918367346,0.0,0.8551020408163266,0.05894770030873272,0.37629906861181467,1.4281226951797135
2,1344,0.30619008108062573,0.0,0.15327380952380953,0.38169642857142855,0.18154761904761904,0.4367559523809524,0.1911605886621277,0.4661026742697406,0.6957060213391327
8,259,0.23968756299012997,0.0,0.26640926640926643,0.7104247104247104,0.03861003861003861,0.25096525096525096,0.36651966613893233,0.22676303474501613,1.2366525831685562
5,647,0.22816238325777813,0.0,0.19319938176197837,0.9922720247295209,0.0,0.0077279752704791345,-0.11901522442859866,0.3221967139506868,1.7552878109328363
11,55,0.21141981731447101,0.0,0.23636363636363636,0.01818181818181818,0.2545454545454545,0.7272727272727273,-0.17991523871616605,0.2108842884743825,-0.8685997113219827
3,1247,0.20545278924546315,0.0,0.1724137931034483,0.7955092221331195,0.08340016038492382,0.1210906174819567,-0.061131952227781894,0.3840944358039523,1.619007844290877
0,2351,0.19868830294227396,0.0,0.14674606550404085,0.7498936622713739,0.0918757975329647,0.15823054019566143,-0.03253793626691548,0.4220018666368002,1.9951795795970788
12,38,0.015685437598007935,0.0,0.02631578947368421,0.7368421052631579,0.02631578947368421,0.23684210526315788,-0.0249505920370538,0.28591666411452366,1.5481391457111326
