cluster,n_cells,frac_Intact,frac_3dpi_CTRL,frac_5dpi_CTRL,LDAM_score,DAM_score,Homeostatic_score,IL6_score,Inflammation_score,Phagocytosis_score
0,1803,0.8613422074320577,0.05490848585690516,0.08374930671103716,0.015345599722188458,0.48334948021038415,2.1770401490949003,-0.0865739003300905,-0.06739249243095372,1.1475052741733578
1,1197,0.7811194653299917,0.09273182957393483,0.1261487050960735,0.004769947849667885,0.457736781791471,1.8474374818124666,-0.03562907007758086,0.16389700259647141,1.040194507103317
2,1183,0.04818258664412511,0.0,0.9518174133558749,0.10598041328287117,0.42997535408675924,1.5988054530417022,-0.10872035126598666,-0.10290192329739141,1.0815927885028132
3,839,0.2061978545887962,0.2395709177592372,0.5542312276519666,0.28686579378557325,0.6372420441601132,0.2565237145656909,-0.36760019007735434,0.04295341316508452,0.76063786724327
4,736,0.29891304347826086,0.0,0.7010869565217391,0.09134058278325809,0.4280942368675065,1.2584932437495908,-0.03825346308597016,0.34830492456214146,0.9523525144483732
5,652,0.9892638036809815,0.0,0.010736196319018405,-0.07852678884604394,0.3881395652355367,1.8625608951474992,-0.03653959476877104,-0.10450501358582198,1.115520754240773
6,598,0.005016722408026756,0.35785953177257523,0.637123745819398,0.629899473487586,1.1236323920869,0.5947648332855241,-0.3376379275546192,0.36977611010788275,1.1458680342033156
7,496,0.6713709677419355,0.10080645161290322,0.22782258064516128,0.17648627749296486,0.3053755875189261,1.5458387380774303,-0.048851187840752534,0.04505954575234203,0.6706702372816301
8,454,0.2643171806167401,0.2555066079295154,0.4801762114537445,0.14473604882111746,0.5613027332711071,1.9411504485428595,-0.11279783228952676,0.018677472764524944,1.134331294954611
9,272,0.7316176470588235,0.03308823529411765,0.23529411764705882,0.4186807421542971,0.27213803493374367,1.2648562006856883,-0.18391829089618605,-0.07570697699837825,0.7908768823041635
10,175,0.8114285714285714,0.045714285714285714,0.14285714285714285,0.02787488856495699,0.4389461260232312,1.6089036694844565,-0.13397906144124777,0.16792544460069564,1.0302159445081438
11,41,0.6829268292682927,0.024390243902439025,0.2926829268292683,0.0412728105869352,0.37173137551213686,1.5655281212659387,-0.07583273070829162,-0.010412683380328544,0.8180755833881658
