gene,TBI_mean,Sham_mean,log2FC
Rgs17,0.13829967,0.04583233,1.4093429
Tab2,0.37821358,0.41847605,-0.14236397
Sf3b5,0.1400604,0.10389845,0.39779526
Aig1,0.10175378,0.114518695,-0.15603872
Map7,0.251472,0.1376391,0.82458144
Sgk1,1.4282018,1.2108786,0.23634636
Lama2,0.05062541,0.037773833,0.34370202
Ptprk,0.064890444,0.03520948,0.72815627
Rnf146,0.035639375,0.03987872,-0.12814532
Tspyl1,0.0774751,0.08500063,-0.119064584
Cdk19,0.15434155,0.17201294,-0.14734372
Wasf1,0.08417193,0.05822217,0.4650563
Cdc40,0.12271265,0.1060114,0.1940393
Lace1,0.17352852,0.100685455,0.72953874
Prdm1,0.029046535,0.04925462,-0.601733
Grik2,0.048256863,0.05153983,-0.07909239
Dcbld1,0.01370363,0.011935006,0.11187304
Cep85l,0.111578785,0.08710348,0.32429662
Fam184a,0.015165875,0.012174509,0.18256667
Pkib,0.089815445,0.07641848,0.2079232
Ranbp2,0.14345212,0.11637125,0.2801204
Sept10,0.05668751,0.03722446,0.49788213
Micu1,0.07214712,0.07236509,-0.0038229036
Dnajb12,0.079064235,0.09194482,-0.19487038
Psap,1.1122661,0.9320172,0.2525895
Tspan15,0.008409442,0.006554528,0.15322018
Ddx21,0.35039547,0.19085635,0.8434167
Hnrnph3,0.14589565,0.1514703,-0.050688267
Herc4,0.08651024,0.09752927,-0.15597548
Reep3,0.3740676,0.37310082,0.0036361148
Arid5b,0.16030031,0.17790672,-0.1419356
Ank3,0.08665114,0.07579045,0.17196962
Fam13c,0.028829392,0.016035223,0.5766845
Ube2d1,0.07965262,0.07911777,0.008632759
Mif,0.32699224,0.17185716,0.8899095
Smarcb1,0.08416251,0.0661465,0.30637506
Dip2a,0.022882927,0.020025585,0.13114654
Rrp1,0.3734077,0.3279964,0.1818714
Mier2,0.022613673,0.025988005,-0.14203912
Tpgs1,0.09592922,0.068478756,0.43272653
Polrmt,0.024964008,0.021332657,0.15820348
Polr2e,0.19033578,0.13315962,0.4847955
Dazap1,0.12978445,0.09791365,0.37332654
Plk5,0.0017624052,0.0018278749,-0.008007853
Csnk1g2,0.08115729,0.07704263,0.06663582
Btbd2,0.030640777,0.035900384,-0.17557813
Hmg20b,0.19061437,0.14711508,0.35260332
Tdg,0.029901577,0.02259539,0.29177788
Tcp11l2,0.047447447,0.061941657,-0.32458463
Cry1,0.01840967,0.027569896,-0.40319502
Fbxo7,0.052627888,0.050013773,0.061511613
Ano4,0.033429127,0.02760883,0.20759155
Anks1b,0.26781118,0.18002442,0.5479198
Cdk17,0.06955102,0.07137332,-0.032675397
Metap2,0.2821384,0.22338189,0.32395935
Nr2c1,0.025169324,0.026992364,-0.07290983
Tmcc3,0.55598676,0.7724795,-0.46728462
Btg1,0.7368381,0.6935486,0.08614545
Ppp1r12a,0.2621455,0.29357463,-0.15767315
Nav3,0.8987842,0.9448604,-0.07135206
Gm5428,0.7526975,0.54302555,0.46376497
Atxn7l3b,0.25510997,0.27315378,-0.094994925
Tbc1d15,0.08943505,0.091826685,-0.03428933
Cct2,0.2294905,0.14803754,0.59970117
Usp15,0.12849204,0.11326716,0.16801466
Cdk4,0.15226193,0.104732715,0.50004774
Ptges3,0.24681088,0.20540768,0.2536366
Atp5b,0.5183088,0.32875776,0.6411275
Nabp2,0.07336609,0.063276835,0.18610351
Rnf41,0.059273794,0.05623445,0.06472797
Rpl41,1.0143272,0.6273418,0.6845374
Rps26,1.1751883,0.9054084,0.3726289
Cd63,0.95439476,0.5641775,0.748127
8430429K09Rik,0.056137223,0.019040013,1.1874205
Mtmr3,0.09845775,0.1067992,-0.106897175
Uqcr10,0.26520893,0.1729998,0.58868515
Mrps24,0.14634344,0.096007146,0.5605572
Dbnl,0.21075016,0.18179548,0.20284572
Purb,0.2833587,0.3174278,-0.15851119
Ppia,0.4367001,0.24847053,0.78930676
Gm11973,0.020332986,0.00445734,1.0690855
Ccm2,0.12820144,0.12062862,0.08130171
Cobl,0.010442134,0.02918869,-0.93889153
Sec61g,0.19750965,0.09627407,0.96538883
Rab1,0.3383579,0.35379916,-0.062571935
Vps54,0.18755,0.14709784,0.33055452
Cct4,0.24628927,0.18179664,0.41819558
Pex13,0.05487132,0.054654375,0.004832864
5730522E02Rik,0.05142591,0.051295385,0.0030688597
Ccdc88a,0.23603778,0.20447764,0.19805259
Ccdc104,0.1145291,0.09284686,0.2759852
Rps27a,1.3508781,0.9459327,0.50955695
Rtn4,0.5323089,0.544011,-0.03079979
Sptbn1,0.12943701,0.117977925,0.123718694
Erlec1,0.13758554,0.16073734,-0.21022718
Gm12111,0.05034813,0.018679753,1.0732765
Slu7,0.13891765,0.13016288,0.08741039
Clint1,0.2750599,0.2542513,0.10935452
Adam19,0.020026542,0.023842098,-0.17258063
Sgcd,0.06448516,0.044501692,0.45065212
Gnb2l1,1.0885422,0.8097204,0.42238656
Mapk9,0.07751792,0.08503681,-0.11890789
Sqstm1,0.4548711,0.4047984,0.16442038
Canx,1.1644295,1.0171502,0.19331299
Rufy1,0.08588968,0.07190942,0.22734624
Ube2b,0.25876728,0.23351635,0.14233878
Ppp2ca,0.19525383,0.18661958,0.062002152
Hspa4,0.3063765,0.23778962,0.35252655
Aff4,0.21835944,0.2415314,-0.13943194
4933405E24Rik,0.02196339,0.010569622,0.6359051
Hint1,0.3944179,0.25985608,0.58365685
Sap30l,0.024118029,0.025088362,-0.04045831
Gjc2,0.01326811,0.0037444604,0.7595038
Guk1,0.09191651,0.06812221,0.38358316
Cops3,0.053442143,0.053809624,-0.008332585
Srebf1,0.039264124,0.03912373,0.004117403
Llgl1,0.021550633,0.012859691,0.4648629
Smcr8,0.022189017,0.022218784,-0.0013333956
Usp22,0.097695254,0.107140824,-0.12128924
Akap10,0.07140021,0.09532418,-0.37173223
Ubb,2.0230768,1.9439995,0.057234544
Map2k4,0.05399137,0.07689143,-0.4413365
Efnb3,0.016092924,0.012267139,0.22874252
Pfn1,1.2348477,1.0084921,0.28953445
Nup88,0.105969846,0.11033829,-0.05334605
Wscd1,0.026539825,0.02198333,0.19214952
4933427D14Rik,0.018263755,0.027174214,-0.39534903
Txndc17,0.20942281,0.13201676,0.62765235
Aspa,0.026866999,0.009898162,0.8896949
Pafah1b1,0.38589755,0.38229677,0.013181744
Pitpna,0.5146102,0.35149384,0.53727466
Abr,0.6680293,0.46894643,0.5014833
Cpd,0.15591358,0.05576465,1.3350477
Ssh2,0.7536309,0.92807966,-0.29683504
Git1,0.048890296,0.031301133,0.5118486
Myo18a,0.110824466,0.0718019,0.5627064
Sez6,0.021786677,0.009773422,0.6848597
Supt6,0.10032449,0.09393536,0.086066395
Aldoc,0.2852941,0.21991698,0.3610394
Tnfaip1,0.075532325,0.0587834,0.31440926
Nf1,0.140431,0.17919788,-0.33079398
Omg,0.02203558,0.016216036,0.2892257
Evi2a,0.7232151,0.49263567,0.54472345
Rnf135,0.040148314,0.050883345,-0.27984637
Psmd11,0.21609244,0.14943062,0.50398403
Myo1d,0.15102114,0.18269894,-0.2590985
Tmem98,0.0014224674,0.0037772001,-0.2704084
Synrg,0.12754309,0.089405514,0.46848598
Acaca,0.04122045,0.03164083,0.29872096
Usp32,0.6806698,0.4279128,0.65735245
Appbp2,0.12714246,0.13689223,-0.099082805
Vmp1,1.4763927,0.9936251,0.5665948
Ypel2,0.042281717,0.042849433,-0.015581541
Sept4,0.06639507,0.054140843,0.2522362
Mks1,0.008859051,0.015428759,-0.43120396
Msi2,0.14695105,0.17134953,-0.2084583
Stxbp4,0.14056116,0.068253204,0.94412804
Tom1l1,0.053679556,0.056165904,-0.055257738
Utp18,0.058005303,0.03403943,0.62685144
Nme1,0.2712239,0.14824018,0.82960314
Luc7l3,0.31663147,0.32807958,-0.04969908
Kpnb1,0.22974218,0.16537032,0.4510792
Srcin1,0.022937939,0.01456083,0.4233909
Plxdc1,0.12843232,0.13408914,-0.057780832
Fbxo47,0.013287145,0.010948713,0.15267214
Thra,0.13161165,0.09515853,0.42937404
Smarce1,0.11213972,0.08551618,0.35471535
Acly,0.18806022,0.1386628,0.41389546
Eif1,0.9873221,0.71667266,0.45675385
Cnp,0.15830012,0.09899856,0.6267271
Gpatch8,0.12937865,0.1575192,-0.26531693
Mapt,0.06683376,0.07695503,-0.17852914
Kansl1,0.297842,0.3879286,-0.37031955
Cdc27,0.07374301,0.078651056,-0.082169056
Ddx42,0.20861124,0.1687142,0.29071325
Ddx5,1.6330276,1.6497904,-0.014644358
Cep95,0.059648685,0.062016435,-0.048230086
Bptf,0.28347316,0.26552907,0.091024026
Wipi1,0.04252318,0.034743346,0.23128125
Prkar1a,0.3461129,0.26961893,0.34887266
Fam104a,0.106883444,0.08398486,0.31457037
Ttyh2,0.021470586,0.0122151915,0.50245744
Rpl38,0.8394587,0.62454087,0.4208307
Otop2,0.0026454502,0.0,0.33861834
Atp5h,0.35886568,0.21521668,0.71178174
H3f3b,2.5720792,2.5752006,-0.0017429787
Unk,0.11497366,0.07489473,0.55787724
Wbp2,0.24614784,0.1986336,0.29600513
Mfsd11,0.07800765,0.07897328,-0.015743144
Srsf2,0.101022854,0.065207124,0.56191546
Cyth1,0.06869251,0.06328031,0.10280086
Gaa,0.16361614,0.118132934,0.43825975
Aatk,0.05611882,0.048036907,0.18809031
1810043H04Rik,0.073882766,0.051407713,0.4499545
Anapc11,0.2119938,0.17748852,0.24371703
Pcyt2,0.060097247,0.054606933,0.117668785
Rfng,0.04681946,0.027558187,0.59725773
Rab40b,0.007039331,0.0052269087,0.16224565
Dtnb,0.08799748,0.07468369,0.21066049
Itsn2,0.27797577,0.34301633,-0.2937875
0610009D07Rik,0.18503161,0.12604891,0.5195825
Atad2b,0.0871907,0.097194634,-0.14134252
Rhob,1.2678474,1.4039617,-0.14602737
Rdh14,0.05096081,0.068589956,-0.36646292
Smc6,0.16489066,0.17133693,-0.052219506
Zfp125,0.0075017177,0.0070549566,0.037305474
Ywhaq,0.21382244,0.16660406,0.34183612
Kidins220,0.12920964,0.10792172,0.2394297
Rps7,1.1993743,0.90220964,0.40682355
Tmem18,0.025532585,0.017659398,0.3613729
Hbp1,0.117394336,0.112047315,0.061860625
Agmo,0.33411092,0.53902453,-0.673997
Dgkb,0.090727255,0.07301563,0.27899924
Etv1,0.062343128,0.06873214,-0.122096755
G2e3,0.027152553,0.02690593,0.009608591
Strn3,0.19162542,0.24404342,-0.3333976
Ap4s1,0.06792288,0.061735444,0.11936101
Hectd1,0.14659813,0.12803961,0.18198465
Arhgap5,0.6378218,0.8172036,-0.35264546
Npas3,0.07045375,0.040665776,0.6671482
Sptssa,0.16473286,0.1533341,0.09732489
1700047I17Rik2,0.031984255,0.026240084,0.21226199
Ppp2r3c,0.036386825,0.020174306,0.62039447
Mbip,0.04548202,0.05926556,-0.3201178
Mipol1,0.057580005,0.05923959,-0.03500059
Prpf39,0.09907552,0.11753603,-0.22557756
Klhdc1,0.014838362,0.020993926,-0.31941542
Arf6,0.22477531,0.14011997,0.6451648
Sos2,0.05580633,0.06577615,-0.2035174
Map4k5,0.06609522,0.08708573,-0.35145345
Tmx1,0.09864795,0.07782694,0.30692557
Daam1,0.068503805,0.056598358,0.2372759
Mnat1,0.09483848,0.06982363,0.39328048
Slc38a6,0.076116145,0.0706077,0.09536611
Hif1a,0.1873936,0.15942672,0.2204139
Syt16,0.020842167,0.010383172,0.59752554
Wdr89,1.3342783,1.1081612,0.26570374
Plekhg3,0.012067488,0.0019715158,0.8823165
Plekhh1,0.010895545,0.0069293315,0.30367026
Vti1b,0.11123667,0.06665131,0.6614439
Rdh11,0.03258973,0.04184434,-0.2836807
Rdh12,0.0011195284,0.0,0.15309553
Actn1,0.051751267,0.069502324,-0.3645282
Slc8a3,0.011048919,0.013863469,-0.18105765
Zfyve1,0.042182945,0.030695291,0.3587164
Rbm25,0.8807048,0.93445224,-0.08453042
Lin52,0.01987059,0.035005007,-0.5913598
Ttll5,0.028067917,0.037101157,-0.3071869
Angel1,0.10631718,0.03925261,1.2397921
2310044G17Rik,0.029788094,0.020136101,0.40084404
Foxn3,0.20351823,0.26561502,-0.36829516
Calm1,1.3020244,1.116605,0.21981269
Trip11,0.20697391,0.19405542,0.08856052
Ddx24,0.23727158,0.22938344,0.046773147
Clmn,0.03042407,0.022888452,0.29763362
Glrx5,0.11198234,0.061552383,0.7696006
Slc25a47,0.0,0.0011195029,-0.1530923
Dync1h1,0.21173225,0.1477285,0.4913752
Hsp90aa1,0.83743316,0.78658116,0.089278154
Wdr20a,0.02234665,0.041698743,-0.67651296
Tecpr2,0.28589585,0.21640395,0.38619024
Ckb,1.0824995,0.83953303,0.36289066
Klc1,0.15706378,0.14752853,0.08478585
2010107E04Rik,0.38216883,0.22462814,0.74109876
Jag2,0.009416288,0.00973489,-0.023481064
Esyt2,0.044163182,0.03983427,0.12017442
Sp4,0.048439257,0.07450228,-0.53205246
Itgb8,0.017322907,0.012776482,0.26256615
BC016423,0.100811265,0.08265414,0.25817722
Lyst,0.052554928,0.057207868,-0.10350655
Rala,0.18371421,0.17260943,0.08516851
Vdac3-ps1,0.09892743,0.04792203,0.91118324
Elmo1,0.81314737,1.2154698,-0.5741123
Zkscan3,0.12209921,0.15988137,-0.36290586
Hist1h2bc,0.33347175,0.42800486,-0.35075542
Hist1h1c,0.49497232,0.5127579,-0.049938526
BC005537,0.2794381,0.28384936,-0.021821896
Slc22a23,0.0128743,0.020726925,-0.42577583
Prpf4b,0.23035453,0.2156875,0.09083752
Ssr1,0.28173745,0.20191602,0.4611778
Mak,0.88902617,0.55710775,0.6647402
Fam120a,0.1672289,0.12616855,0.38022047
Bicd2,0.14449015,0.1329589,0.11191442
Nol8,0.06973055,0.06814773,0.028928727
Sptlc1,0.061597448,0.052140422,0.20437622
Rnf44,0.1257242,0.11330708,0.13842243
Nsd1,0.25047836,0.29691178,-0.23666048
Gkap1,0.048894454,0.07699337,-0.5627736
Hnrnpk,0.65117943,0.56351745,0.2052044
Ntrk2,0.10527535,0.07410846,0.4547613
Fbp1,0.0026873022,0.0022310526,0.052836835
2010111I01Rik,0.07457004,0.064914845,0.17489506
Ercc6l2,0.051045604,0.058114827,-0.15808146
Gm10767,0.008642042,0.010795539,-0.15771422
Zfp874b,0.008429272,0.012168491,-0.26651147
Zfp87,0.012952446,0.011676317,0.08252818
Clptm1l,0.16279891,0.12367895,0.37032184
Tppp,0.09114235,0.08773936,0.04937563
Mir682,0.539498,0.4005344,0.42061114
Rhobtb3,0.028627055,0.010460712,0.9167554
Fam172a,0.23086582,0.26357764,-0.18372051
Rasa1,0.14959916,0.1435089,0.056130793
Cox7c,0.5330464,0.3583438,0.5600226
Edil3,0.09400547,0.08125558,0.18867487
Serinc5,0.017793221,0.016026013,0.09477874
Papd4,0.07984317,0.061504386,0.32937714
Ap3b1,0.21859324,0.22930188,-0.06604898
Aggf1,0.1019074,0.06977584,0.48828158
Arhgef28,0.059672154,0.037359647,0.5569238
Ankra2,0.048160154,0.039782077,0.22440478
Fcho2,0.2947804,0.32542107,-0.13820314
Pik3r1,0.5466938,0.5655671,-0.04810001
Mast4,0.14249185,0.14286852,-0.003559182
Erbb2ip,0.27898794,0.3215717,-0.19831157
Kif2a,0.06703711,0.06784732,-0.015093713
Hmgcs1,0.07860444,0.04838583,0.6017607
Zfp131,0.0845998,0.085840106,-0.018792387
Synpr,0.04933861,0.044613298,0.11971879
Thoc7,0.07473425,0.03515742,0.9079822
Ecd,0.05318876,0.07216913,-0.3789285
6230400D17Rik,0.01328692,0.010856174,0.15904535
Rps24,1.7661333,1.4573673,0.27550986
Zmiz1,0.38673368,0.39635184,-0.034558553
Anxa11,0.008055879,0.00571886,0.19997211
D14Abb1e,0.11825299,0.1225047,-0.047051024
Wnt5a,0.0015286678,0.0064220084,-0.51040477
Dph3,0.06394584,0.060069975,0.077672414
Fam35a,0.121225,0.110821046,0.11917085
Ldb3,0.0057026376,0.0024671901,0.33287057
Grid1,0.055127867,0.030224828,0.6951887
Nrg3,0.25688317,0.13276637,0.9025521
Ktn1,0.3312807,0.34813184,-0.06953191
Osgep,0.15651515,0.16667253,-0.08542426
Hnrnpc,0.4241837,0.42159542,0.008625921
Cmtm5,0.035820268,0.024784518,0.39754057
Jph4,0.029343838,0.011624791,0.86345154
Nedd8,0.30490205,0.19228631,0.63850427
Zmym2,0.08627114,0.1004388,-0.19807194
Cryl1,0.24414583,0.24708742,-0.016602403
Rpl13-ps3,1.3296974,1.0106456,0.39242515
Mtmr6,0.16624764,0.1626434,0.029808722
Ctsb,2.4580777,2.017776,0.28348956
Kif13b,0.07156309,0.05814665,0.2592736
Ints9,0.039173238,0.039279275,-0.0031076313
Extl3,0.1515177,0.16227435,-0.093015574
Clu,0.20750861,0.1265556,0.67158395
Trim35,0.088487,0.0844206,0.060831636
Stmn4,0.059639383,0.03644866,0.58426636
Dpysl2,0.2654201,0.24643661,0.10303162
Bnip3l,0.28335452,0.28280365,0.0027116803
Chmp7,0.04012212,0.034403816,0.17476389
Pdlim2,0.047522273,0.02678079,0.6451683
Lgi3,0.022079578,0.011628875,0.5686965
Itm2b,2.813214,2.8002443,0.0066429907
Lrch1,0.34496206,0.48283866,-0.4734506
Tpt1,1.2988509,0.99408174,0.38242406
Kctd4,0.0029255163,0.0043888357,-0.1547279
Diap3,0.046558574,0.019063862,0.9605193
Tdrd3,0.02199063,0.028232403,-0.2571463
Pcdh9,0.16633035,0.11466157,0.50026405
Bora,0.01093074,0.013739355,-0.18165734
Uchl3,0.09212422,0.06357459,0.47304562
Fbxl3,0.11806953,0.1186105,-0.0060812063
Mycbp2,0.50749385,0.6219208,-0.28820208
Ndfip2,0.1535039,0.15668815,-0.027826602
Tpm3-rs7,0.86053556,0.7721065,0.15453815
Hs6st3,0.052095328,0.051514775,0.013551846
Farp1,0.037798863,0.03997606,-0.06426077
Clybl,0.039295044,0.027859721,0.3807788
Plcxd3,0.020810995,0.033042282,-0.48230922
Gm10250,0.13587594,0.10658799,0.32332283
Wdr70,0.29958904,0.16928469,0.7881021
Lmbrd2,0.033663385,0.031875562,0.060315296
Sub1,0.4928728,0.394726,0.313248
6030458C11Rik,0.044845015,0.020302722,0.85591304
Fbxl7,0.027999215,0.022568233,0.22250411
Ank,0.08645822,0.059414487,0.47466734
Laptm4b,0.12557895,0.10668346,0.21653317
Hrsp12,0.04343907,0.036226016,0.2091899
Cox6c,0.6330986,0.4067796,0.6257553
Ankrd46,0.06819016,0.05146265,0.34727708
Pabpc1,1.8011104,1.5758091,0.19165537
Gm26704,0.053644743,0.017061202,1.2338156
Dcaf13,0.068147875,0.041059878,0.6140165
Oxr1,0.21241446,0.23856401,-0.16036688
Emc2,0.14239477,0.094103664,0.5497925
Csmd3,0.716453,1.0079523,-0.48672864
Enpp2,0.0410176,0.034284543,0.20419171
Zhx2,0.03699204,0.04067386,-0.10882521
Tmem65,0.06911715,0.053777277,0.31094792
Trmt12,0.022611406,0.013518467,0.4715828
Ndufb9,0.2977742,0.19823521,0.5636582
Fam49b,0.7460592,0.7492176,-0.00601437
Efr3a,0.119134665,0.12152209,-0.026428746
Vps28,0.2763181,0.21799168,0.3286377
Arhgap39,0.16967522,0.2027312,-0.24364027
Cdc42ep1,0.0070970487,0.004185659,0.2693142
Eif3l,0.13345772,0.07718955,0.7183986
Pick1,0.05035588,0.03490583,0.42659172
Ddx17,0.21336159,0.292308,-0.43663797
Rpl3,1.3811105,1.0267297,0.42419732
Rps19bp1,0.073937796,0.05062952,0.46930024
Tnrc6b,0.25218433,0.31689376,-0.3182403
Mchr1,0.0014027265,0.0016806368,-0.03474009
Rbx1,0.36927468,0.2892539,0.34187305
Tef,0.08199913,0.08880142,-0.102911614
Ccdc134,0.042566285,0.031854212,0.32876492
Ndufa6,0.3278387,0.28788927,0.18155842
Kif21a,0.04376321,0.028916946,0.4662209
Pphln1,0.087852344,0.07661391,0.17600767
Scaf11,0.3335373,0.33994493,-0.026661115
Slc38a2,0.15274379,0.18249497,-0.24221826
Slc48a1,0.08148919,0.078592874,0.04641064
Ddx23,0.11660312,0.1132937,0.03821404
Prkag1,0.09953646,0.062426463,0.5968224
Tuba1a,0.7685323,0.50582176,0.5938842
Spats2,0.10913253,0.07223343,0.5347705
Tmbim6,1.0005342,0.8693062,0.20068057
Faim2,0.01951111,0.013146332,0.35047457
Larp4,0.119068205,0.07388433,0.62166053
Hmox2,0.029405855,0.03008091,-0.02450543
Sec14l5,0.003422585,0.0021062098,0.1489153
Carhsp1,0.020927096,0.021797188,-0.040027685
Atf7ip2,0.0027067135,0.0065774797,-0.38363367
Litaf,0.3588859,0.31306472,0.19135146
Snx29,0.18481065,0.28803837,-0.61342543
Pdxdc1,0.075877585,0.07135077,0.07812572
Lztr1,0.05356078,0.04058156,0.32952523
Acap2,0.25131238,0.29738528,-0.23427261
Apod,0.0842193,0.08934526,-0.07642859
Pak2,0.40696156,0.33326918,0.2805741
Tctex1d2,0.051899604,0.053036287,-0.026252367
Zfp148,0.18927847,0.25748894,-0.42469332
Gtf2e1,0.023704331,0.02868711,-0.19891886
Lrrc58,1.3458068,1.0818084,0.31243196
Gsk3b,0.24414721,0.2808861,-0.19479008
Timmdc1,0.037456866,0.025387594,0.4233732
Zbtb20,0.48272026,0.557157,-0.20297934
2610015P09Rik,0.03431223,0.07923628,-1.0099252
Atp6v1a,0.22907281,0.22112189,0.04879616
Atg3,0.18413812,0.16227661,0.17235655
Cd47,0.3535347,0.40133,-0.17820325
Bbx,0.5465742,0.22925575,1.2180202
Cep97,0.025966054,0.013561934,0.6101779
Tbc1d23,0.108841635,0.14651468,-0.39725775
Cpox,0.057347458,0.056550387,0.01717644
Arl6,0.013612979,0.013174036,0.02707075
Ncam2,0.056992587,0.046231892,0.2526129
App,0.5620043,0.45812872,0.28912082
Sod1,0.30299604,0.2212053,0.43696985
Olig2,0.013145572,0.0118995,0.07983827
Olig1,0.05533743,0.029054713,0.7424129
Tmem50b,0.11023282,0.096997015,0.16826032
Son,1.0274801,1.070248,-0.058278836
Smim11,0.10539135,0.078047894,0.39017472
Pigp,0.08661892,0.07998018,0.10269851
Dscr3,0.05849776,0.04036818,0.4435442
B3galt5,0.059992354,0.037217718,0.56786907
Tiam2,0.07615579,0.044426948,0.6626267
Tulp4,0.4011074,0.38235828,0.067343764
Qk,1.0198206,1.1194444,-0.13322026
Slc22a3,0.048127655,0.026472062,0.67243314
Tcp1,0.07486944,0.032255806,1.0060955
Wtap,0.06437591,0.08070046,-0.28627452
Psmb1,0.4633135,0.3231026,0.50682944
Zfp53,0.017586904,0.01579295,0.09700687
Srrm2,0.78177935,0.9168147,-0.22718246
E4f1,0.055918954,0.050076317,0.13389695
Sox8,0.006680497,0.008646713,-0.16075902
2810468N07Rik,0.018385284,0.0032538616,1.0987304
Rps10,1.3541683,1.0155052,0.41168684
BC004004,0.14967814,0.11560733,0.3462463
Mtch1,0.15774052,0.13158596,0.24455298
Btbd9,0.2126426,0.24995804,-0.2235491
Pknox1,0.08462329,0.16791455,-0.9109173
U2af1,0.12844424,0.117043555,0.1239818
March2,0.07699328,0.05464676,0.42832592
Ddr1,0.015641876,0.011222266,0.27292317
Abcf1,0.2351605,0.19064881,0.28905398
Mog,0.04584218,0.022749662,0.7698752
Gabbr1,0.13651812,0.11980892,0.1746897
Rcan2,0.03755272,0.02716099,0.35573903
Enpp4,0.029226672,0.030737426,-0.054519907
Hsp90ab1,1.545864,1.233308,0.32353228
Ubr2,0.097395465,0.08985265,0.105060466
Guca1a,0.040015012,0.026752705,0.44451073
Daam2,0.02151148,0.011637916,0.5423159
Gm7334,0.049784746,0.036868636,0.35115466
Mpnd,0.061579805,0.040281802,0.50951636
Ndufa11,0.1755752,0.12323921,0.47798526
Dus3l,0.050696913,0.058076512,-0.16553397
Alkbh7,0.045999262,0.032653734,0.39273593
Tubb4a,0.059291698,0.038657006,0.5100349
Fbxl17,0.18921977,0.18756685,0.012020046
Rab31,0.28779355,0.2861229,0.008116549
Ankrd12,0.25932145,0.31512597,-0.27166966
Ralbp1,0.25475317,0.26699638,-0.06521915
Epb4.1l3,0.050574217,0.055271998,-0.107760236
Dlgap1,0.16031857,0.1309785,0.2727606
Lbh,0.09288495,0.07462301,0.28191006
Rasgrp3,0.5572639,0.626928,-0.16711019
Fez2,0.25878802,0.28393474,-0.12902701
Gpatch11,0.044995237,0.032601297,0.36840948
Dhx57,0.06537991,0.06613834,-0.014443098
Sos1,0.084136,0.07829083,0.092482954
Camkmt,0.04848048,0.038865026,0.25915274
Cript,0.10246088,0.08849904,0.19124179
Calm2,1.2197524,1.2070001,0.015038622
1700011E24Rik,0.0,0.0035337447,-0.43656117
Kif5b,0.5512007,0.47626394,0.2067771
Mpp7,0.063919105,0.048880685,0.3281528
Rock1,0.33415976,0.36405814,-0.12018409
Usp14,0.08888402,0.068015605,0.34197468
Greb1l,0.08642742,0.04605474,0.7826071
Snrpd1,0.12876531,0.08128332,0.60422385
Npc1,0.090772495,0.1032196,-0.16802181
Impact,0.09257871,0.10327011,-0.143036
Dtna,0.066212885,0.027505511,1.0229323
Iws1,0.12691492,0.13455392,-0.0783281
Bin1,1.4021527,1.3869007,0.01566669
Epb4.1l4a,0.021280278,0.015892245,0.27273327
Apc,0.32121754,0.29824284,0.10371169
Srp19,0.1946398,0.12019522,0.65241045
Hspa9,0.26763257,0.17851625,0.5584879
Paip2,0.24384841,0.2964259,-0.27157104
Ik,0.4003495,0.34067997,0.22669809
Pcdhga9,0.17488074,0.16810764,0.053845525
Hdac3,0.055341117,0.055889294,-0.0120529635
Nr3c1,0.35725227,0.34415624,0.05238546
Tcerg1,0.16890773,0.14392784,0.21696147
Stk32a,0.005825968,0.004290183,0.14726938
Snx24,0.21463707,0.23617195,-0.13207032
Zfp608,0.08305066,0.14279222,-0.715483
Gm4221,0.026160993,0.022467192,0.1554515
4930511M06Rik,0.03466264,0.022026744,0.47979134
Ctxn3,0.0,0.004382671,-0.5243316
Slc12a2,0.2088034,0.21475263,-0.03870284
Atp8b1,0.034186926,0.03763591,-0.10843006
Malt1,0.09021011,0.08392855,0.09339242
Zfp532,0.06269876,0.061485283,0.024284448
Sec11c,0.44581178,0.38966137,0.18966006
Tcf4,0.5069232,0.58430666,-0.20125759
Dcc,0.35649967,0.17140947,1.014562
Me2,0.0339818,0.029736564,0.14643955
Mro,0.005313599,0.004862499,0.043136787
Dym,0.094049804,0.059455443,0.58311456
BC031181,0.19574119,0.11605831,0.7067394
Ier3ip1,0.18328317,0.16036642,0.18207498
Mbp,1.4933661,1.0494107,0.5049344
Aldh3b1,0.10325235,0.06552336,0.58454615
Gstp1,0.06563881,0.037018273,0.6859051
Brms1,0.062341977,0.06409747,-0.03459123
Sf3b2,0.39983916,0.34815937,0.19445615
4930481A15Rik,0.10065633,0.06346115,0.5910326
Cfl1,1.128405,0.8322747,0.43465114
Malat1,3.7560594,4.356955,-0.21357203
Neat1,0.19216117,0.20154469,-0.06545651
Frmd8,0.03025435,0.034057185,-0.13023269
Sac3d1,0.02864916,0.018591689,0.43484125
Map4k2,0.048842706,0.03776659,0.30086166
Nrxn2,0.08208672,0.057649978,0.44490367
Prdx5,0.3899444,0.29339886,0.3985839
Fkbp2,0.5029896,0.37022674,0.43206957
Rtn3,0.5045124,0.43682542,0.20349468
Mark2,0.09049924,0.10711598,-0.22075336
Pla2g16,0.051272444,0.04325441,0.2023373
Hnrnpul2,0.13606739,0.12786701,0.083356775
Bscl2,0.14659794,0.1049921,0.4455306
Eef1g,0.5297381,0.2996253,0.8017362
Fth1,3.3932815,2.908708,0.22159655
Myrf,0.0107117435,0.004832803,0.48165777
Tmem109,0.15063922,0.13315953,0.16620047
Psat1,0.085889116,0.055189308,0.55673164
