gene,TBI_mean,Sham_mean,log2FC
Cirh1a,0.032746624,0.023048596,0.3712215
Gm20681,0.0,0.0010130923,-0.13921972
Zc3h18,0.10405812,0.067083865,0.5652683
Tomm20,0.0896886,0.06072585,0.4951909
Mtmr2,0.05439186,0.049363982,0.11729036
Med17,0.07383232,0.084037535,-0.16573025
Dpy19l2,0.0028433756,0.0,0.36102438
Acad8,0.046848483,0.036444925,0.29160085
Rpusd4,0.03031513,0.028202765,0.07764438
Cbl,0.08687253,0.13161941,-0.54785943
C030014I23Rik,0.0037578023,0.0042866697,-0.054419532
Gm7293,0.0,0.0007201493,-0.10032491
Commd4,0.18421496,0.1285026,0.48774117
Snx14,0.10913349,0.09226225,0.22030525
Poc1a,0.016747082,0.030398168,-0.59490824
Nprl2,0.02340018,0.02657609,-0.13104513
P4htm,0.01501533,0.01119247,0.23926084
Gm10621,0.0042830356,0.0060958536,-0.17238662
Deb1,0.058586854,0.052117992,0.14292082
Tbc1d25,0.009604317,0.015936708,-0.4038239
Gm14569,0.00069655495,0.0010029322,-0.04074178
6330419J24Rik,0.017781576,0.015924115,0.099833675
Slc9a6,0.02299784,0.018747985,0.19891064
BC023829,0.021176688,0.03027607,-0.36945525
Mtm1,0.021669015,0.036426697,-0.5518828
Hmgb3,0.005612288,0.0036908053,0.1894747
Fate1,0.001060441,0.0,0.145409
Zc3h12b,0.046495106,0.08384763,-0.7321943
Stard8,0.11426583,0.0787342,0.48586753
Armcx3,0.032145947,0.019884916,0.4959764
Armcx5,0.01849192,0.031208307,-0.53238225
Fbxo30,0.03344953,0.038610898,-0.16193917
Dse,0.047980875,0.038998466,0.24284047
Gm16176,0.04154864,0.010303273,1.3442221
Tmpo,0.082067974,0.066535816,0.26656437
Lrig3,0.014944825,0.014045188,0.052992344
Dnajc14,0.014227064,0.017322484,-0.17346908
Zfp354c,0.010725314,0.017318409,-0.39847958
D930048N14Rik,0.0014342162,0.0,0.19335751
Polr2a,0.15358746,0.12324265,0.29600623
Gps2,0.17170225,0.14656854,0.21478198
1700016P03Rik,0.00125528,0.005285423,-0.44155452
Myo1c,0.06894527,0.048094317,0.44245568
Fam101b,0.016482275,0.0048804283,0.831611
Phf12,0.051187783,0.06400616,-0.2744017
Poldip2,0.06934883,0.057837125,0.22613373
Ska2,0.005206474,0.014873459,-0.70992136
Slc35b1,0.18250729,0.12107266,0.55454636
Pcgf2,0.008908365,0.0053844242,0.29755414
Igfbp4,0.055578858,0.029575752,0.7286139
Gm11627,0.0028614718,0.0042220326,-0.14507191
C130046K22Rik,0.0,0.0031456708,-0.39458776
Kpna2,0.017813722,0.0036989064,1.0217363
Kctd2,0.046195954,0.031409275,0.44051224
Socs3,0.7694333,0.58121866,0.3987338
Hgs,0.056187753,0.042955358,0.3217876
Pqlc3,0.014007445,0.011276385,0.17422885
Rhoj,0.008586709,0.0047855303,0.33008546
Tdp1,0.024637736,0.027468238,-0.113323614
AK010878,0.017955966,0.008935817,0.56203854
Serpina1b,0.0,0.0015227224,-0.20448169
Degs2,0.0031424833,0.0026208125,0.058433086
Nid1,0.0028419883,0.00064993184,0.27002436
Gpr141,0.013931023,0.0067014745,0.51890653
Prl3a1,0.0,0.0,0.0
Gm9817,0.013178013,0.003633184,0.76563436
1110007C09Rik,0.14773421,0.120459065,0.27389842
Aspn,0.0,0.0015794843,-0.21157101
S1pr3,0.001710987,0.0042543584,-0.28354046
Iqgap2,0.030496774,0.021914925,0.3435756
Gcnt4,0.011446344,0.014615094,-0.19881159
Sncg,0.0,0.00078999146,-0.10969378
Sox7,0.0041675335,0.000916399,0.3760916
Slc25a37,0.12400105,0.1573272,-0.32042778
Gm24098,0.022781327,0.01448906,0.4207368
Slc22a22,0.014637779,0.010459531,0.2680992
Top1mt,0.023745911,0.01793645,0.272564
Hsf1,0.051532954,0.03679746,0.39492893
Myh9,0.33791843,0.29547307,0.18770395
Mfng,0.16235831,0.15282452,0.08209283
Lgals1,0.044304356,0.012957701,1.2420897
Amigo2,0.004121377,0.0,0.4978808
Dazap2,0.35547283,0.32030976,0.14594458
Txndc11,0.055905357,0.06518871,-0.19012041
Hes1,0.047097005,0.039219998,0.21417043
Xxylt1,0.025044821,0.011736974,0.6890501
Hspbap1,0.021000355,0.02453676,-0.15584806
Cmss1,0.00828308,0.020826347,-0.7536547
