pathway,gene,log2FC,mean_control,mean_7dpi
Cholesterol_bile_acid,Abcc2,0.11202837,2.3285215,2.5165498
Cholesterol_bile_acid,Cyp27a1,-0.22151805,1.7211281,1.4761328
Cholesterol_bile_acid,Cyp51,-1.1749084,0.58961356,0.26109114
Cholesterol_bile_acid,Cyp7a1,-0.19956425,1.349414,1.175075
Cholesterol_bile_acid,Cyp7b1,-1.2114927,1.1200745,0.48361558
Cholesterol_bile_acid,Cyp8b1,-0.5198461,0.19204013,0.13390741
Cholesterol_bile_acid,Dhcr7,-1.0914484,0.34805006,0.16328333
Cholesterol_bile_acid,Fdft1,-1.0364811,0.68831843,0.33551443
Cholesterol_bile_acid,Hmgcr,-0.6187999,1.0614752,0.69121087
Cholesterol_bile_acid,Mvk,-0.7437578,0.103823654,0.061961323
Cholesterol_bile_acid,Nr1h3,-0.3179437,0.32432872,0.26016077
Cholesterol_bile_acid,Nr1h4,-0.19472127,2.1840408,1.9082748
Cholesterol_bile_acid,Slc10a1,-0.3264375,0.84955525,0.67750293
Inflammation_TBI,Ccl2,0.59239817,0.005382394,0.008166085
Inflammation_TBI,Cxcl10,-0.22103758,0.062494736,0.05360304
Inflammation_TBI,Hmgb1,-0.3713996,0.32478705,0.25104815
Inflammation_TBI,Il10,1.188807,0.0019035611,0.004467401
Inflammation_TBI,Il18,0.15776032,0.18404245,0.20532085
Inflammation_TBI,Il1b,0.85638076,0.016151184,0.029322619
Inflammation_TBI,Il6,0.6518974,0.00053648953,0.0009000735
Inflammation_TBI,Nfkb1,0.061239824,0.5221091,0.54475313
Inflammation_TBI,Nlrp3,1.1943357,0.024790784,0.056859933
Inflammation_TBI,Pycard,0.20661049,0.023724332,0.027392656
Inflammation_TBI,Rela,-0.40583956,0.17023447,0.12846793
Inflammation_TBI,S100a8,-1.8008322,0.008831034,0.0024632872
Inflammation_TBI,S100a9,-1.6351751,0.011164159,0.0035262855
Inflammation_TBI,Tgfb1,0.8117984,0.040116765,0.07049644
Inflammation_TBI,Tgfb2,-0.11580292,0.0040011983,0.0036848667
Inflammation_TBI,Tnf,0.8374487,0.0070924954,0.012752179
Glucose_energy,Akt1,-0.22602275,0.09235397,0.0789471
Glucose_energy,Aldob,0.22107935,0.90191317,1.0512913
Glucose_energy,Foxo1,0.18016548,0.46345302,0.525112
Glucose_energy,G6pc,1.0869173,0.9191711,1.9526125
Glucose_energy,Gck,-1.1386187,0.67122114,0.30481023
Glucose_energy,Insr,-0.053003352,1.0364196,0.9990298
Glucose_energy,Irs1,0.0457435,0.33797815,0.34886935
Glucose_energy,Irs2,1.1429839,0.114665754,0.2533456
Glucose_energy,Ldha,-0.17504543,0.38338268,0.3395658
Glucose_energy,Ldhb,0.44119412,0.0028033648,0.003841979
Glucose_energy,Pck1,1.4346665,1.1199781,3.0276916
Glucose_energy,Pck2,0.42452475,0.0061126905,0.00823824
Glucose_energy,Pfkl,-0.31847793,0.059512895,0.047704503
Glucose_energy,Ppargc1a,0.4979393,0.28444874,0.4017383
Glucose_energy,Ppargc1b,0.5355764,0.19104612,0.27697036
