gene,7dpi,control,log2FC
Pla2g4a,0.18478799,0.0761254,1.2783078
Elovl2,0.4504203,0.3776363,0.25421265
Elovl5,0.70208967,0.60500914,0.21466537
Acsl1,1.6833549,2.1990101,-0.3854947
Fads2,0.5039318,0.72452366,-0.52371705
Acsl4,0.41014543,0.6680072,-0.7035925
Fads1,0.19616213,0.32811445,-0.7418568
Elovl6,0.42591673,0.7202483,-0.7577846
Mfsd2a,0.09125619,0.22914134,-1.3272929
