gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Grk2,0.12390515,0.15994154,0.3680464,0.05387990677484652,1291,1366,0.1859145451686658,False
Prkcq,0.26244313,0.30400485,0.21201436,0.05389621094489405,1291,1366,0.1859145451686658,False
Dapk2,0.510367,0.44122288,-0.20998318,0.053918439329203885,1291,1366,0.1859145451686658,False
Rabac1,0.13441679,0.10201742,-0.39755723,0.05401057061156953,1291,1366,0.1861466749189739,False
Alad,0.107988805,0.0786608,-0.45666745,0.054075756788227736,1291,1366,0.18628576821950077,False
Pcgf3,0.21606329,0.2601422,0.2677334,0.05421464982315381,1291,1366,0.18667853034562784,False
Gtpbp2,0.28833163,0.34073755,0.24085493,0.054417347414479705,1291,1366,0.187290531032496,False
Cdk8,0.6123503,0.6815954,0.15453444,0.054483414727957605,1291,1366,0.18743193980003023,False
Abcc6,0.34340367,0.41251433,0.26446837,0.054555443789516135,1291,1366,0.18756257364746784,False
Klhl2,0.3906359,0.32971066,-0.24455585,0.054571384549169974,1291,1366,0.18756257364746784,False
Acap2,0.77024215,0.85044956,0.1428959,0.054605289396069984,1291,1366,0.18759317140050966,False
Prrg1,0.20369904,0.24718711,0.27903977,0.05474534444894251,1291,1366,0.1879882468651788,False
Cog4,0.3286489,0.38055018,0.21147974,0.05496024783852857,1291,1366,0.18863986254916737,False
Snd1,0.8070607,0.7385283,-0.12800737,0.055054022462837277,1291,1366,0.188875322605701,False
Krcc1,0.35303017,0.29780564,-0.24534468,0.05510766780965392,1291,1366,0.18897295775860756,False
Mctp2,0.3001426,0.34923437,0.21848002,0.055160029281174444,1291,1366,0.18906610310491176,False
Ninj1,0.10099299,0.07097636,-0.5082412,0.05520162730395985,1291,1366,0.18912228751671725,False
Ldha,0.26340523,0.22358058,-0.23639148,0.05543997445116006,1291,1366,0.18977396351039014,False
Ice1,0.3139121,0.2603843,-0.2696238,0.05544242676459752,1291,1366,0.18977396351039014,False
Snw1,0.2650689,0.3154369,0.2508972,0.05548669835785183,1291,1366,0.18983399571222528,False
Cmbl,0.11807771,0.146948,0.3153291,0.05551056731875547,1291,1366,0.18983399571222528,False
Plin2,0.39977074,0.33815634,-0.24141668,0.055725672349572625,1291,1366,0.19048278799036145,False
Usp46,0.31324485,0.26439434,-0.24451438,0.055850846792931605,1291,1366,0.1908237265425163,False
Ammecr1l,0.21417035,0.2567694,0.2616027,0.055913296350714195,1291,1366,0.19095014224825152,False
Zcchc4,0.10492145,0.12810203,0.28773507,0.05614178433267069,1291,1366,0.19164322468063158,False
Usf3,0.23365662,0.28328446,0.27775335,0.056351775845716955,1291,1366,0.1921792181200775,False
Ier2,0.097803414,0.07144399,-0.4525286,0.05635884559601634,1291,1366,0.1921792181200775,False
Gna11,0.14232315,0.10324007,-0.46278384,0.056390002359990164,1291,1366,0.1921792181200775,False
Bcl10,0.11426658,0.1477975,0.370932,0.05640125793688,1291,1366,0.1921792181200775,False
Itgav,0.28060165,0.3385492,0.270754,0.056524283534678324,1291,1366,0.19251098473022762,False
Chd1,0.5208714,0.5814317,0.1586536,0.056592525220140334,1291,1366,0.1926559513279097,False
Eri3,0.2804853,0.32920203,0.23097193,0.056636584980603644,1291,1366,0.19271850209046218,False
Tfg,0.14414307,0.1085606,-0.40867317,0.05671751441592483,1291,1366,0.19282130814743442,False
Fgfr4,0.25057545,0.20755988,-0.27159813,0.056718196332318775,1291,1366,0.19282130814743442,False
Ambp,0.8604825,0.7892977,-0.1245612,0.056894038654472096,1291,1366,0.19332629829807188,False
Col27a1,0.19246188,0.2293228,0.25268665,0.05691827175002543,1291,1366,0.19332629829807188,False
Slc25a51,0.27972293,0.32714334,0.22584964,0.05696235039737618,1291,1366,0.1933580514342692,False
Cnst,0.2142716,0.25939807,0.2756099,0.05697916189806334,1291,1366,0.1933580514342692,False
Mrpl48,0.080753826,0.108048245,0.4196223,0.05704582780449192,1291,1366,0.19349676583051667,False
Fggy,0.8609051,0.94136864,0.12889127,0.057074691625172376,1291,1366,0.19350043935988306,False
Tmem167,0.23550802,0.19217585,-0.29321113,0.05709849030291632,1291,1366,0.19350043935988306,False
Rpl4,0.14498878,0.10348871,-0.48606908,0.05725257462811332,1291,1366,0.19393501915789357,False
Psmc2,0.10845945,0.13852748,0.35272804,0.05734126647671324,1291,1366,0.1941477989055864,False
B2m,1.1168531,1.2100849,0.11565887,0.057406730958028056,1291,1366,0.19416232144210208,False
Chd3,0.63310015,0.70901287,0.16335362,0.05741893962691205,1291,1366,0.19416232144210208,False
Pold3,0.13772835,0.1016009,-0.43854016,0.057423189561511996,1291,1366,0.19416232144210208,False
Ube3c,0.5425926,0.48034436,-0.17576598,0.057513092711156094,1291,1366,0.19437870928459647,False
Rbms2,0.3587323,0.41528448,0.21113747,0.05759271249495347,1291,1366,0.19456016292194322,False
Ank2,0.07599486,0.10464976,0.46107608,0.05768893421646417,1291,1366,0.1947975127930381,False
Ddx19b,0.09782945,0.07888972,-0.31007794,0.05782194224642486,1291,1366,0.19512138730124354,False
Sdhc,0.12294837,0.15190965,0.3049374,0.05783686063680736,1291,1366,0.19512138730124354,False
Pir,0.10170497,0.07601318,-0.41958982,0.058003689818207915,1291,1366,0.19559626278921977,False
Baiap2,0.31657225,0.36877578,0.22014463,0.0580469332172361,1291,1366,0.19565415091146562,False
Gatm,0.49068096,0.41857275,-0.22925627,0.05813678455882061,1291,1366,0.1958690141647198,False
Iqgap1,0.3527604,0.41409355,0.23120755,0.058246179637567605,1291,1366,0.19614949991951064,False
Nfe2l2,0.44699255,0.51507527,0.20448995,0.05833126664772198,1291,1366,0.19634791101743296,False
Cdh2,0.6479341,0.7279231,0.16791454,0.0583963364229758,1291,1366,0.1964681693925716,False
Dvl1,0.37982205,0.42999992,0.17896841,0.05841936370982637,1291,1366,0.1964681693925716,False
Fam102a,0.13892134,0.10850534,-0.35621127,0.058529637487170605,1291,1366,0.19675083784329797,False
Mideas,0.2925127,0.3446137,0.23640622,0.05858237964101919,1291,1366,0.19683994377365294,False
Snapc3,0.4214054,0.3636864,-0.21245947,0.058675356930521706,1291,1366,0.19706410163370833,False
Rft1,0.06875838,0.09617825,0.48357755,0.058796979600981944,1291,1366,0.1973729352344496,False
Hmgxb4,0.2039129,0.16581132,-0.29824808,0.05881992312198178,1291,1366,0.1973729352344496,False
Bend7,0.26195708,0.21466275,-0.2871373,0.058886131166196225,1291,1366,0.19747923972251533,False
9330175M20Rik,0.11749792,0.14465304,0.29973108,0.05890424343582425,1291,1366,0.19747923972251533,False
Cntrob,0.06868181,0.089187846,0.37643677,0.05894069346255588,1291,1366,0.19751318581936433,False
Phkb,0.5689906,0.644026,0.1786846,0.058991537565968415,1291,1366,0.19759531533815222,False
Mlh3,0.18201166,0.14692548,-0.3087571,0.05911315809042774,1291,1366,0.19788527668122,False
Amn1,0.38984317,0.33682978,-0.21081594,0.059130853034692156,1291,1366,0.19788527668122,False
1600010M07Rik,0.16536866,0.12808406,-0.36834112,0.05930924704801897,1291,1366,0.19839379429393061,False
Eml3,0.08284377,0.11137392,0.42650074,0.059417142349289936,1291,1366,0.1986661403951526,False
Hlcs,0.37121406,0.42931795,0.20974249,0.05947396394836557,1291,1366,0.19876755078155317,False
Syt1,0.073603585,0.10091358,0.45474246,0.05951496053737858,1291,1366,0.1987862499978768,False
Tmem179b,0.27142522,0.22791672,-0.2519465,0.05953254748037174,1291,1366,0.1987862499978768,False
Brwd1,0.57413965,0.51250213,-0.16381343,0.06000989911816144,1291,1366,0.2002910467453582,False
Hspa12b,0.14281578,0.10654857,-0.42230058,0.0600779756864839,1291,1366,0.20042910252364995,False
Echdc3,0.18510634,0.22243436,0.2648947,0.060129211856958555,1291,1366,0.20051087847233778,False
Tram1,0.2432859,0.19376925,-0.3281616,0.060403262460844466,1291,1366,0.20133526354674192,False
Slc22a15,0.11548739,0.15340503,0.40930185,0.060452248630861995,1291,1366,0.20140906815157972,False
Nelfb,0.18419324,0.14438006,-0.35113272,0.06048107328869437,1291,1366,0.20141566484024584,False
Galnt1,0.33166724,0.3873493,0.22383615,0.060595725760292936,1291,1366,0.20170795491547377,False
Hivep3,1.0484278,0.98001343,-0.097344555,0.06067267697561739,1291,1366,0.2018745433915997,False
Mmab,0.09818266,0.07147356,-0.45751017,0.06071447350618541,1291,1366,0.20192406680714056,False
Rusc2,0.29537433,0.24362703,-0.27776647,0.060926137393708266,1291,1366,0.2025382405250302,False
Fcer1g,0.12021747,0.15194367,0.3376396,0.06109387580358986,1291,1366,0.20300591238013052,False
Sap30bp,0.08712524,0.115032785,0.40048105,0.06122365733515249,1291,1366,0.20334710092326214,False
Smc5,0.36815253,0.4181452,0.18365355,0.06132863230593512,1291,1366,0.20356883158483657,False
Slc25a22,0.15234174,0.18953337,0.3149549,0.06134467922341936,1291,1366,0.20356883158483657,False
5730455P16Rik,0.07214166,0.09393971,0.380439,0.061489548844057475,1291,1366,0.20395936559547448,False
Gramd1c,0.4963447,0.563468,0.18295668,0.06152659417155266,1291,1366,0.2039920618953423,False
Slc40a1,0.7643951,0.83539915,0.12813108,0.06171272356988874,1291,1366,0.2044308823766794,False
Foxk1,0.12644252,0.163068,0.36673588,0.06171344110131665,1291,1366,0.2044308823766794,False
Rnmt,0.09747139,0.12289049,0.33401653,0.06182426833841157,1291,1366,0.20470762813023038,False
Rnf19b,0.12589704,0.15960424,0.3420128,0.06198482952938492,1291,1366,0.20511728686317518,False
Sgms1,1.0117646,0.9364882,-0.111529484,0.06200266648083184,1291,1366,0.20511728686317518,False
Crk,0.2879934,0.33441344,0.21552752,0.06211328795747084,1291,1366,0.2053926838011916,False
Sh2d3c,0.30022115,0.3567697,0.24889146,0.062221755982714295,1291,1366,0.20566072032524466,False
Dixdc1,0.14456694,0.1804344,0.3195386,0.0622957278270577,1291,1366,0.20581455124897136,False
Ilrun,0.29844287,0.3459583,0.21307692,0.062354643732112615,1291,1366,0.20591852637413774,False
Borcs5,0.08046283,0.107150234,0.41279453,0.0624182652463361,1291,1366,0.2060379428698899,False
Erg,0.616258,0.5453888,-0.17621899,0.06251037174587351,1291,1366,0.20625123975782278,False
Mylk,0.44268614,0.5054788,0.19132599,0.06256216819475115,1291,1366,0.20633140569899686,False
Npr1,0.46120113,0.52197164,0.17853904,0.06263940826433693,1291,1366,0.20649537794697717,False
Pnrc2,0.10653507,0.082074344,-0.375922,0.06267625226400356,1291,1366,0.20652609606360064,False
Atxn7,0.5863456,0.656367,0.16272523,0.0627624945220782,1291,1366,0.2066746460274323,False
Gpbp1l1,0.34441274,0.3907032,0.18188488,0.06277642520278798,1291,1366,0.2066746460274323,False
Letmd1,0.083562836,0.10793085,0.36878446,0.06282940654122071,1291,1366,0.206758349683675,False
Anxa2,0.10687677,0.07386569,-0.53236943,0.06286869775680459,1291,1366,0.20679694838636775,False
Rhbdf2,0.102562904,0.13103218,0.35310683,0.0629675873532932,1291,1366,0.2070314670954246,False
Rab24,0.18994589,0.22268969,0.22933461,0.06312290732769914,1291,1366,0.20745123682861438,False
Hipk3,0.26549584,0.31159434,0.2308994,0.06328515238315624,1291,1366,0.20785764712094892,False
Dmac2,0.13858806,0.1708217,0.301492,0.06330197569923608,1291,1366,0.20785764712094892,False
Tmem131l,0.3956226,0.44655484,0.17467093,0.0635033349159928,1291,1366,0.20842761236863255,False
