gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Etv6,1.0141296,1.1074997,0.12705225,0.15631793778410563,599,503,0.43972369445442544,False
Aqp11,0.05648362,0.09388351,0.7320231,0.1563282399034667,599,503,0.43972369445442544,False
Npas2,0.59544086,0.6755452,0.18206544,0.15652364665556984,599,503,0.4401216253306168,False
Mier3,0.1406606,0.18227112,0.3736337,0.15677286166159568,599,503,0.440670530884816,False
Gdi1,0.27013838,0.32177597,0.2522723,0.15686773031745918,599,503,0.44078535791682744,False
Gm10658,0.11167584,0.1435042,0.3614895,0.15711691024671756,599,503,0.441333558558766,False
Fbxo3,0.34322676,0.4026329,0.23024096,0.1573354227023691,599,503,0.4414551271080177,False
Mbd2,0.4326329,0.3617023,-0.25827524,0.15733585857069043,599,503,0.4414551271080177,False
4930599N23Rik,0.20270187,0.1500185,-0.4339692,0.157368906901017,599,503,0.4414551271080177,False
Ugdh,0.3469269,0.27332294,-0.3439132,0.1573765888182872,599,503,0.4414551271080177,False
Prodh,0.19717297,0.23477606,0.25170648,0.15748231765440435,599,503,0.44146683064341846,False
Pon3,0.14455262,0.19053282,0.39820403,0.15748896372585675,599,503,0.44146683064341846,False
Lmo7,0.13088538,0.16849194,0.36412984,0.15765583578739473,599,503,0.4417828365470951,False
Tkfc,0.072747,0.10539742,0.5342662,0.15771197152014527,599,503,0.44178842691534,False
Ggact,0.2734941,0.21625462,-0.33863908,0.1578657550549153,599,503,0.44206745410024323,False
Cbfb,0.19853894,0.23843835,0.26407272,0.15797061785241906,599,503,0.44220934534330686,False
Tm9sf2,0.2933937,0.3414442,0.2187428,0.15812507909091145,599,503,0.44224429105577756,False
Aebp2,0.19621377,0.24377044,0.31295356,0.15813262827451235,599,503,0.44224429105577756,False
Scrn3,0.14173035,0.1013404,-0.48353398,0.1581456913358773,599,503,0.44224429105577756,False
Meis1,0.39793378,0.451445,0.18197887,0.15820454459235278,599,503,0.4422573086240489,False
Nrf1,0.38962907,0.44438544,0.18966457,0.15827740574522287,599,503,0.4423094626304858,False
Ankib1,0.31879762,0.37999198,0.25325528,0.15845079115009786,599,503,0.4426424018434778,False
C730036E19Rik,0.17838724,0.14007671,-0.34857422,0.1586775972939798,599,503,0.4431242963445842,False
Arhgef3,0.3311881,0.3849665,0.2170211,0.15880062061791878,599,503,0.4433161355601154,False
Mapkapk2,0.1922365,0.23913498,0.3147958,0.15903425554647643,599,503,0.44374863505547735,False
Notch2,0.20484655,0.26329905,0.36200237,0.15906962069821506,599,503,0.44374863505547735,False
Tmem223,0.16306195,0.12555845,-0.37679687,0.15911868948190278,599,503,0.44374863505547735,False
