gene,log2FC,pval,pct_target,mean_target
Slc25a23,1.4029053,3.4069663047135574e-168,0.4105598543468366,0.55612123
4930517O19Rik,1.4013935,3.067457309556509e-93,0.24419663177059628,0.3076565
Gm27216,1.4013416,1.2307312197991259e-152,0.3767637687756031,0.51096225
Tmprss6,1.4012263,3.3454606807834294e-213,0.49544833864360494,0.7009001
Entpd8,1.3998662,2.676199791652896e-262,0.5797678652708238,0.8739519
Pcsk6,1.3996114,2.0090555366985704e-116,0.30143377332726445,0.3914661
Gm4952,1.3993269,2.2556713204793774e-115,0.2988165680473373,0.40747234
Acot12,1.397915,2.3548273156219153e-145,0.36367774237596723,0.47666097
Ces1b,1.3976262,4.250615308118697e-200,0.4806554392353209,0.71268606
Shmt2,1.3962052,5.096803495116722e-78,0.20289030496131089,0.2431902
Gm40438,1.3951206,2.8012115873054354e-115,0.2973372781065089,0.3883748
Slc47a1,1.3925002,5.846136449017323e-263,0.5811333636777424,0.8865481
Sema4g,1.3918865,0.0,0.7968821119708693,1.4970311
