gene,7dpi,control,log2FC
Cd36,0.29802957,0.17715755,0.7500924
Mgll,0.1798646,0.13832128,0.37864742
Cx3cr1,0.040407922,0.036636226,0.14100072
Clec4f,2.372064,2.4347255,-0.03761459
Timd4,0.99152774,1.0363591,-0.06379261
Apoe,2.7071815,2.9049022,-0.101694405
Csf1r,1.4928322,1.6043814,-0.103958495
Plin2,0.4956814,0.58449066,-0.2377227
Lgals3,0.16163932,0.21002023,-0.3775446
Lpl,0.14564244,0.2667291,-0.87249476
Trem2,0.005484967,0.012679841,-1.1942493
Fabp5,0.012386525,0.049125444,-1.9790323
