gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Rnh1,0.29624227,0.23057175,-0.36142302,0.00947625143718482,1503,1879,0.04545133768591207,False
Trim30b,0.120353386,0.08390717,-0.5198905,0.009537263678579187,1503,1879,0.045716097559843925,True
Gm42826,0.29436177,0.23673455,-0.31420067,0.009564842231487873,1503,1879,0.04582037088482558,False
Sp140,0.24262404,0.30211273,0.31624728,0.00964044497224895,1503,1879,0.04615443709781512,False
Grem2,0.09112996,0.11635197,0.35215554,0.00968328033246691,1503,1879,0.04633131575132891,False
Wsb2,0.10366533,0.13272126,0.35616165,0.009772862363205185,1503,1879,0.04673151085043889,False
B230219D22Rik,0.37718144,0.30699873,-0.29693857,0.009834903418909684,1503,1879,0.046999605281375194,False
Hecw2,0.09854205,0.13540958,0.4581202,0.009961803830723927,1503,1879,0.047577139606845426,False
Mrps31,0.05489597,0.080324404,0.54830736,0.009977405284954922,1503,1879,0.0476227366331647,True
Msrb3,0.06742262,0.09970762,0.56377906,0.009985604290363395,1503,1879,0.0476329674639166,True
Arhgef11,0.51322204,0.57918185,0.17440122,0.009999602025034464,1503,1879,0.047670830017527935,False
Hmg20a,0.33552873,0.39058864,0.21915315,0.010026239230738986,1503,1879,0.04776886601392663,False
Spp2,0.072826564,0.10332103,0.50401324,0.010058978073450176,1503,1879,0.04788341638658909,True
Slc38a9,0.5133886,0.580065,0.17613114,0.010065880571664122,1503,1879,0.04788341638658909,False
Agxt2,0.7161706,0.79880214,0.1575141,0.010068544457591961,1503,1879,0.04788341638658909,False
Echdc3,0.17634328,0.22366652,0.3427898,0.010076475342516244,1503,1879,0.04789217827446089,False
Mindy3,0.31007755,0.36560047,0.23756826,0.010084672348623118,1503,1879,0.04789624911023084,False
Ctps2,0.10891062,0.14361879,0.39877996,0.010089509887573418,1503,1879,0.04789624911023084,False
Dguok,0.3187518,0.2521619,-0.33796385,0.010154622090754496,1503,1879,0.04817627102887507,False
2700062C07Rik,0.12650882,0.087534696,-0.53080374,0.010269444607617022,1503,1879,0.04869165237101597,True
Tmem179b,0.30007467,0.23957986,-0.32469353,0.010287950178729105,1503,1879,0.048750009702339246,False
Zbtb4,0.34617507,0.28010955,-0.30541244,0.010316808222762437,1503,1879,0.048856715412236025,False
Nsd1,1.2890512,1.1925145,-0.11229363,0.010322891052013257,1503,1879,0.048856715412236025,False
AU040320,0.3159091,0.37239617,0.23725957,0.010330864675468997,1503,1879,0.048865052036824494,False
H2-Ab1,1.0502101,1.131714,0.10782144,0.010365506616409453,1503,1879,0.04895987805433659,False
Rtn4rl1,0.10420459,0.14043207,0.43009683,0.01036942195831189,1503,1879,0.04895987805433659,False
Farp1,0.17215413,0.22094402,0.35979512,0.010369585156181636,1503,1879,0.04895987805433659,False
Caln1,0.07652019,0.105943255,0.4688563,0.010391132251534527,1503,1879,0.049032181338074736,False
Cdc14b,0.22201355,0.26854047,0.27437913,0.010397717684252895,1503,1879,0.04903384130955232,False
1700086O06Rik,0.117722236,0.08215456,-0.5184443,0.0104346236382161,1503,1879,0.049178399962976536,True
